1girl,0,4114588,"1個女人,1個女孩"
1girls,0,4114587,"1個女人"
solo,0,3426446,"單人"
female_solo,0,3426445,"單人"
highres,5,3008413,"高解析度"
high_res,5,3008412,"高解析度"
high_resolution,5,3008411,"高解析度"
hires,5,3008410,"高解析度"
long_hair,0,2898315,"長髮"
commentary_request,5,2610959,"評論請求"
breasts,0,2252741,"胸部,乳房"
boobs,0,2252740,"胸部"
breast,0,2252739,"胸部"
tits,0,2252736,"胸部"
looking_at_viewer,0,2017032,"看著鏡頭,看向閱圖者,看著觀眾"
blush,0,1987494,"臉紅,臉紅的"
blushing,0,1987493,"臉紅的"
flush,0,1987492,"臉紅的"
flushed,0,1987491,"臉紅的"
smile,0,1847264,"微笑"
:),0,1847263,"微笑"
:},0,1847262,"微笑"
smiling,0,1847261,"微笑"
short_hair,0,1530601,"短髮"
open_mouth,0,1521316,"張開嘴,張口"
bangs,0,1446592,"劉海"
blue_eyes,0,1192965,"藍色眼睛,藍眼,藍眼睛"
multiple_girls,0,1097189,"多個女孩"
skirt,0,1072680,"短裙,裙子"
blonde_hair,0,1070839,"金髮"
blond,0,1070838,"金髮"
blond_hair,0,1070837,"金髮"
blonde,0,1070836,"金髮"
gold_hair,0,1070834,"金髮"
yellow_hair,0,1070833,"金髮"
large_breasts,0,1051375,"大胸(d),大乳房,大胸(D)"
big_breasts,0,1051374,"大胸(d),大胸(D)"
large_boobs,0,1051373,"大胸(d),大胸(D)"
large_breast,0,1051372,"大胸(d),大胸(D)"
large_tits,0,1051371,"大胸(d),大胸(D)"
brown_hair,0,1046479,"棕發,茶發,棕色頭髮"
brunette,0,1046476,"茶發"
simple_background,0,1033328,"簡單背景/無背景,簡單的背景"
shirt,0,956884,"襯衫"
black_hair,0,951555,"黑髮"
dark_hair,0,951552,"黑髮"
hair_ornament,0,909358,"頭飾,髮飾"
hair_accessories,0,909357,"頭飾"
hair_accessory,0,909356,"頭飾"
hair_ornaments,0,909354,"頭飾"
absurdres,5,889451,"超高解析度,荒謬"
red_eyes,0,874986,"紅色眼睛,紅眼,紅眼睛"
red_eye,0,874985,"紅眼"
thighhighs,0,871535,"長筒襪,過膝襪"
naked_thighhighs,0,871534,"過膝襪"
stocking,0,871532,"過膝襪"
stockings,0,871531,"過膝襪"
thighhighs_only,0,871527,"過膝襪"
hat,0,860554,"帽子"
gloves,0,859727,"手套"
glove,0,859726,"手套"
1boy,0,852461,"1個男人,1男"
1boys,0,852460,"1個男人"
bad_id,5,850533,"錯誤的id"
long_sleeves,0,847925,"長袖"
long_sleeve,0,847924,"長袖"
white_background,0,842744,"白色背景"
dress,0,813386,"連衣裙"
original,3,800843,"原創,原版"
original_character,3,800842,"原創"
ribbon,0,776028,"絲帶"
ribbons,0,776027,"絲帶"
bow,0,773755,"蝴蝶結,弓"
bows,0,773754,"蝴蝶結"
touhou,3,769563,"東方"
navel,0,762061,"肚臍"
belly_button,0,762060,"肚臍"
bellybutton,0,762059,"肚臍"
bad_pixiv_id,5,714106,"壞的pixivid"
